期日,NOMURA-BPI 総合 指数値,S151/TSX 配当込み TOPIX,WGBI_Non-JPY.JPY建て.Index[日次],SKOKU#JPY/MSCI MSCI Kokusai Index JPY,S155/TSX 配当込み REIT指数,SSPGRTJYTR/SPR SP先進国REIT除く日本￥TR,SGSCI/SPU S&P GSCI,無担保ｺｰﾙ金利（短資協会）.翌日物
,,日通し現値,,日通し現値,日通し現値,日通し現値,日通し現値,
20000103, , , , , ,136.92,194.2237, 
20000104,270.304, ,162.7001, , ,137.71,192.3673,0.03
20000105,270.713, ,164.0116, , ,139.16,190.5185,0.02
20000106,270.891, ,166.4062, , ,143.23,190.4214,0.02
20000107,270.331, ,166.7317, , ,146.06,188.5528,0.02
20000110, , , , , ,147.48,189.8289, 
20000111,270.388, ,166.8257, , ,147.33,193.4622,0.02
20000112,269.929, ,166.5125, , ,147.1,195.7564,0.02
20000113,270.089, ,167.6806, , ,147.34,197.1534,0.02
20000114,270.395, ,165.8549, , ,146.53,202.0791,0.02
20000117,270.264, ,163.4932, , ,144.65, ,0.02
20000118,270.528, ,164.3658, , ,145.85,205.861,0.02
20000119,270.489, ,164.9564, , ,146.51,206.8887,0.02
20000120,270.239, ,164.4971, , ,146.18,208.3103,0.02
20000121,270.693, ,163.4808, , ,145.53,208.4641,0.02
20000124,271.691, ,164.6043, , ,145.37,206.746,0.02
20000125,272.074, ,165.6172, , ,145.14,209.0047,0.02
20000126,271.94, ,165.3644, , ,145.11,206.5944,0.02
20000127,271.921, ,162.466, , ,143.71,205.0038,0.02
20000128,272.238, ,162.8159, , ,143.86,204.4356,0.02
20000131,271.448, ,164.967, , ,144.41,206.365,0.02
20000201,270.968, ,166.4091, , ,145.91,209.3361,0.02
20000202,269.893, ,167.1021, , ,146.83,206.8966,0.02
20000203,269.865, ,168.4015, , ,147.19,208.716,0.02
20000204,270.344, ,166.1273, , ,145.48,212.2114,0.02
20000207,269.853, ,167.2704, , ,146.64,208.9809,0.02
20000208,269.104, ,170.318, , ,148.17,205.6049,0.02
20000209,269.46, ,169.8447, , ,147.81,208.2956,0.02
20000210,269.612, ,167.878, , ,146.33,211.0808,0.02
20000211, , , , , ,145.47,210.6448, 
20000214,269.98, ,168.3513, , ,144.28,212.7823,0.02
20000215,270.371, ,168.5273, , ,144.46,212.4397,0.02
20000216,270.524, ,169.6383, , ,144.99,213.0257,0.02
20000217,269.944, ,171.1818, , ,146.98,210.6807,0.02
20000218,270.527, ,172.1261, , ,146.43,209.7584,0.02
20000221,270.826, ,173.5554, , ,147.29, ,0.02
20000222,270.158, ,175.2438, , ,146.02,210.5672,0.02
20000223,270.274, ,175.151, , ,146.6,211.4364,0.02
20000224,269.868, ,174.886, , ,145.81,213.5674,0.02
20000225,269.689, ,172.9858, , ,145.7,214.6274,0.02
20000228,270.435, ,168.56, , ,142.47,214.2303,0.28
20000229,270.139, ,169.529, , ,145.16,216.0089,0.05
20000301,270.371, ,166.5504, , ,141.5,222.5149,0.02
20000302,270.907, ,166.497, , ,141.52,222.1708,0.02
20000303,270.758, ,166.3124, , ,141.24,221.9379,0.02
20000306,271.01, ,166.224, , ,141,224.6126,0.02
20000307,270.837, ,164.9596, , ,138.86,230.4045,0.02
20000308,271.397, ,165.0046, , ,139.36,217.7949,0.02
20000309,270.943, ,165.4028, , ,139.06,219.0231,0.02
20000310,270.49, ,164.8322, , ,138.98,216.8311,0.02
20000313,270.62, ,163.8284, , ,137.76,216.865,0.02
20000314,270.613, ,162.9181, , ,137.32,216.0046,0.02
20000315,270.455, ,164.3839, , ,139.26,213.1748,0.02
20000316,270.06, ,165.5285, , ,141.65,214.0127,0.02
20000317,270.138, ,166.0838, , ,142.44,213.6732,0.02
20000320, , , , , ,143.08,207.0278, 
20000321,269.805, ,167.8975, , ,143.84,208.222,0.03
20000322,270.217, ,166.9149, , ,144.18,207.4161,0.02
20000323,270.291, ,168.94, , ,145.02,206.9933,0.02
20000324,269.941, ,168.0937, , ,144.26,209.3277,0.02
20000327,269.542, ,167.2394, , ,143.8,209.1501,0.02
20000328,269.728, ,165.903, , ,142.79,207.4232,0.02
